coach,year,team,position,squad
Billy Napier,2018,Louisiana-Lafayette,HC,2018 Louisiana-Lafayette
Matt Viator,2018,Louisiana-Monroe,HC,2018 Louisiana-Monroe
Scott Satterfield,2018,Appalachian State,HC,2018 Appalachian State
Ed Orgeron,2018,LSU,HC,2018 LSU
Doc Holliday,2018,Marshall,HC,2018 Marshall
Mike Locksley,2018,Alabama,OC,2018 Alabama
Walt Bell,2018,Florida State,OC,2018 Florida State
Manny Diaz,2018,Miami FL,DC,2018 Miami FL
Chuck Martin,2018,Miami OH,HC,2018 Miami OH
Jim Harbaugh,2018,Michigan,HC,2018 Michigan
Mel Tucker,2018,Georgia,DC,2018 Georgia
Rick Stockstill,2018,Middle Tennessee,HC,2018 Middle Tennessee
P. J. Fleck,2018,Minnesota,HC,2018 Minnesota
Mike Leach,2018,Washington State,HC,2018 Washington State
Eliah Drinkwitz,2018,North Carolina State,OC,2018 North Carolina State
Ken Niumatalolo,2018,Navy,HC,2018 Navy
Scott Frost,2018,Nebraska,HC,2018 Nebraska
Jay Norvell,2018,Nevada,HC,2018 Nevada
Danny Gonzales,2018,Arizona State,DC,2018 Arizona State
Doug Martin,2018,New Mexico State,HC,2018 New Mexico State
Dave Doeren,2018,North Carolina State,HC,2018 North Carolina State
Seth Littrell,2018,North Texas,HC,2018 North Texas
Thomas Hammock,2018,Ravens,RB,2018 Ravens
Pat Fitzgerald,2018,Northwestern,HC,2018 Northwestern
Brian Kelly,2018,Notre Dame,HC,2018 Notre Dame
Frank Solich,2018,Ohio,HC,2018 Ohio
Ryan Day,2018,Ohio State,OC,2018 Ohio State
Lincoln Riley,2018,Oklahoma,HC,2018 Oklahoma
Mike Gundy,2018,Oklahoma State,HC,2018 Oklahoma State
Ricky Rahne,2018,Penn State,OC,2018 Penn State
Lane Kiffin,2018,Florida Atlantic,HC,2018 Florida Atlantic
Mario Cristobal,2018,Oregon,HC,2018 Oregon
Jonathan Smith,2018,Oregon State,HC,2018 Oregon State
James Franklin,2018,Penn State,HC,2018 Penn State
Pat Narduzzi,2018,Pitt,HC,2018 Pitt
Jeff Brohm,2018,Purdue,HC,2018 Purdue
Mike Bloomgren,2018,Rice,HC,2018 Rice
Greg Schiano,2018,Ohio State,DC,2018 Ohio State
Brady Hoke,2018,Panthers,DL,2018 Panthers
Brent Brennan,2018,San Jose State,HC,2018 San Jose State
Sonny Dykes,2018,SMU,HC,2018 SMU
Steve Campbell,2018,South Alabama,HC,2018 South Alabama
Will Muschamp,2018,South Carolina,HC,2018 South Carolina
Jeff Scott,2018,Clemson,co-OC,2018 Clemson
Jay Hopson,2018,Southern Miss,HC,2018 Southern Miss
David Shaw,2018,Stanford,HC,2018 Stanford
Dino Babers,2018,Syracuse,HC,2018 Syracuse
Gary Patterson,2018,TCU,HC,2018 TCU
Rod Carey,2018,Northern Illinois,HC,2018 Northern Illinois
Jeremy Pruitt,2018,Tennessee,HC,2018 Tennessee
Tom Herman,2018,Texas,HC,2018 Texas
Jimbo Fisher,2018,Texas A&M,HC,2018 Texas A&M
Jake Spavital,2018,West Virginia,OC,2018 West Virginia
Matt Wells,2018,Utah State,HC,2018 Utah State
Jason Candle,2018,Toledo,HC,2018 Toledo
Chip Lindsey,2018,Auburn,OC,2018 Auburn
Willie Fritz,2018,Tulane,HC,2018 Tulane
Philip Montgomery,2018,Tulsa,HC,2018 Tulsa
Bill Clark,2018,UAB,HC,2018 UAB
Chip Kelly,2018,UCLA,HC,2018 UCLA
Marcus Arroyo,2018,Oregon,OC,2018 Oregon
Clay Helton,2018,USC,HC,2018 USC
Kyle Whittingham,2018,Utah,HC,2018 Utah
Gary Andersen,2018,Utah,AHC,2018 Utah
Dana Dimel,2018,UTEP,HC,2018 UTEP
Jeff Traylor,2018,Arkansas,AHC,2018 Arkansas
Derek Mason,2018,Vanderbilt,HC,2018 Vanderbilt
Bronco Mendenhall,2018,Virginia,HC,2018 Virginia
Justin Fuente,2018,Virginia Tech,HC,2018 Virginia Tech
Dave Clawson,2018,Wake Forest,HC,2018 Wake Forest
Jimmy Lake,2018,Washington,DC,2018 Washington
Nick Rolovich,2018,Hawaii,HC,2018 Hawaii
Neal Brown,2018,Troy,HC,2018 Troy
Tyson Helton,2018,Tennessee,OC,2018 Tennessee
Tim Lester,2018,Western Michigan,HC,2018 Western Michigan
Paul Chryst,2018,Wisconsin,HC,2018 Wisconsin
Craig Bohl,2018,Wyoming,HC,2018 Wyoming
Barry Odom,2018,Missouri,HC,2018 Missouri
Bo Pelini,2018,Youngstown State,HC,2018 Youngstown State
Bob Davie,2018,New Mexico,HC,2018 New Mexico
Bobby Petrino,2018,Louisville,HC,2018 Louisville
Bobby Wilder,2018,Old Dominion,HC,2018 Old Dominion
Chad Morris,2018,Arkansas,HC,2018 Arkansas
Charlie Strong,2018,South Florida,HC,2018 South Florida
Chris Ash,2018,Rutgers,HC,2018 Rutgers
Chris Petersen,2018,Washington,HC,2018 Washington
Frank Wilson,2018,UTSA,HC,2018 UTSA
Jeff Tedford,2018,Fresno State,HC,2018 Fresno State
Joe Moorhead,2018,Mississippi State,HC,2018 Mississippi State
Matt Luke,2018,Ole Miss,HC,2018 Ole Miss
Matt Rhule,2018,Baylor,HC,2018 Baylor
Mike Bobo,2018,Colorado State,HC,2018 Colorado State
Rocky Long,2018,San Diego State,HC,2018 San Diego State
Tony Sanchez,2018,UNLV,HC,2018 UNLV
Urban Meyer,2018,Ohio State,HC,2018 Ohio State
Mark Dantonio,2018,Michigan State,HC,2018 Michigan State
Troy Calhoun,2017,Air Force,HC,2017 Air Force
Tom Arth,2017,Chattanooga,HC,2017 Chattanooga
Nick Saban,2017,Alabama,HC,2017 Alabama
Shawn Clark,2017,Appalachian State,co-OC,2017 Appalachian State
Kevin Sumlin,2017,Texas A&M,HC,2017 Texas A&M
Sam Pittman,2017,Georgia,OL,2017 Georgia
Blake Anderson,2017,Arkansas State,HC,2017 Arkansas State
Jeff Monken,2017,Army,HC,2017 Army
Gus Malzahn,2017,Auburn,HC,2017 Auburn
Mike Neu,2017,Ball State,HC,2017 Ball State
Dave Aranda,2017,LSU,DC,2017 LSU
Bryan Harsin,2017,Boise State,HC,2017 Boise State
Jeff Hafley ,2017,49ers,DB,2017 49ers
Scot Loeffler,2017,Boston College,OC,2017 Boston College
Lance Leipold,2017,Buffalo,HC,2017 Buffalo
Kalani Sitake,2017,BYU,HC,2017 BYU
Justin Wilcox,2017,California,HC,2017 California
Josh Heupel,2017,Missouri,OC,2017 Missouri
Jim McElwain,2017,Florida,HC,2017 Florida
Will Healy,2017,Austin Peay,HC,2017 Austin Peay
Luke Fickell,2017,Cincinnati,HC,2017 Cincinnati
Dabo Swinney,2017,Clemson,HC,2017 Clemson
Joe Moglia,2017,Coastal Carolina,HC,2017 Coastal Carolina
Steve Addazio,2017,Boston College,HC,2017 Boston College
Randy Edsall,2017,Connecticut,HC,2017 Connecticut
David Cutcliffe,2017,Duke,HC,2017 Duke
Mike Houston,2017,James Madison,HC,2017 James Madison
Chris Creighton,2017,Eastern Michigan,HC,2017 Eastern Michigan
Dan Mullen,2017,Mississippi State,HC,2017 Mississippi State
Willie Taggart,2017,Oregon,HC,2017 Oregon
Butch Davis,2017,Florida International,HC,2017 Florida International
Mike Norvell,2017,Memphis,HC,2017 Memphis
Kalen DeBoer,2017,Fresno State,OC,2017 Fresno State
Kirby Smart,2017,Georgia,HC,2017 Georgia
Chad Lunsford,2017,Georgia Southern,ST,2017 Georgia Southern
Shawn Elliott,2017,Georgia State,HC,2017 Georgia State
Geoff Collins,2017,Temple,HC,2017 Temple
Dana Holgorsen,2017,West Virginia,HC,2017 West Virginia
Lovie Smith,2017,Illinois,HC,2017 Illinois
Tom Allen,2017,Indiana,HC,2017 Indiana
Kirk Ferentz,2017,Iowa,HC,2017 Iowa
Matt Campbell,2017,Iowa State,HC,2017 Iowa State
Chris Klieman,2017,North Dakota State,HC,2017 North Dakota State
Sean Lewis,2017,Syracuse,co-OC,2017 Syracuse
Mark Stoops,2017,Kentucky,HC,2017 Kentucky
Skip Holtz,2017,Louisiana Tech,HC,2017 Louisiana Tech
Billy Napier,2017,Arizona State,OC,2017 Arizona State
