coach,year,team,position,squad
Jay Norvell,2017,Nevada,HC,2017 Nevada
Danny Gonzales,2017,San Diego State,DC,2017 San Diego State
Doug Martin,2017,New Mexico State,HC,2017 New Mexico State
Dave Doeren,2017,North Carolina State,HC,2017 North Carolina State
Seth Littrell,2017,North Texas,HC,2017 North Texas
Thomas Hammock,2017,Ravens,RB,2017 Ravens
Pat Fitzgerald,2017,Northwestern,HC,2017 Northwestern
Brian Kelly,2017,Notre Dame,HC,2017 Notre Dame
Frank Solich,2017,Ohio,HC,2017 Ohio
Ryan Day,2017,Ohio State,co-OC,2017 Ohio State
Lincoln Riley,2017,Oklahoma,HC,2017 Oklahoma
Mike Gundy,2017,Oklahoma State,HC,2017 Oklahoma State
Ricky Rahne,2017,Penn State,TE,2017 Penn State
Lane Kiffin,2017,Florida Atlantic,HC,2017 Florida Atlantic
Mario Cristobal,2017,Oregon,co-OC,2017 Oregon
Jonathan Smith,2017,Washington,OC,2017 Washington
James Franklin,2017,Penn State,HC,2017 Penn State
Pat Narduzzi,2017,Pitt,HC,2017 Pitt
Jeff Brohm,2017,Purdue,HC,2017 Purdue
Mike Bloomgren,2017,Stanford,OC,2017 Stanford
Greg Schiano,2017,Ohio State,DC,2017 Ohio State
Brady Hoke,2017,Tennessee ,DL,2017 Tennessee 
Brent Brennan,2017,San Jose State,HC,2017 San Jose State
Sonny Dykes,2017,TCU,staff,2017 TCU
Steve Campbell,2017,Central Arkansas,HC,2017 Central Arkansas
Will Muschamp,2017,South Carolina,HC,2017 South Carolina
Jeff Scott,2017,Clemson,co-OC,2017 Clemson
Jay Hopson,2017,Southern Miss,HC,2017 Southern Miss
David Shaw,2017,Stanford,HC,2017 Stanford
Dino Babers,2017,Syracuse,HC,2017 Syracuse
Gary Patterson,2017,TCU,HC,2017 TCU
Rod Carey,2017,Northern Illinois,HC,2017 Northern Illinois
Jeremy Pruitt,2017,Alabama,DC,2017 Alabama
Tom Herman,2017,Texas,HC,2017 Texas
Jimbo Fisher,2017,Florida State,HC,2017 Florida State
Jake Spavital,2017,West Virginia,OC,2017 West Virginia
Matt Wells,2017,Utah State,HC,2017 Utah State
Jason Candle,2017,Toledo,HC,2017 Toledo
Chip Lindsey,2017,Auburn,OC,2017 Auburn
Willie Fritz,2017,Tulane,HC,2017 Tulane
Philip Montgomery,2017,Tulsa,HC,2017 Tulsa
Bill Clark,2017,UAB,HC,2017 UAB
Marcus Arroyo,2017,Oregon,co-OC,2017 Oregon
Clay Helton,2017,USC,HC,2017 USC
Kyle Whittingham,2017,Utah,HC,2017 Utah
Gary Andersen,2017,Oregon State,HC,2017 Oregon State
Dana Dimel,2017,Kansas State,OC,2017 Kansas State
Jeff Traylor,2017,SMU,AHC,2017 SMU
Derek Mason,2017,Vanderbilt,HC,2017 Vanderbilt
Bronco Mendenhall,2017,Virginia,HC,2017 Virginia
Justin Fuente,2017,Virginia Tech,HC,2017 Virginia Tech
Dave Clawson,2017,Wake Forest,HC,2017 Wake Forest
Jimmy Lake,2017,Washington,co-DC,2017 Washington
Nick Rolovich,2017,Hawaii,HC,2017 Hawaii
Neal Brown,2017,Troy,HC,2017 Troy
Tyson Helton,2017,USC,QB,2017 USC
Tim Lester,2017,Western Michigan,HC,2017 Western Michigan
Paul Chryst,2017,Wisconsin,HC,2017 Wisconsin
Craig Bohl,2017,Wyoming,HC,2017 Wyoming
Barry Odom,2017,Missouri,HC,2017 Missouri
Bo Pelini,2017,Youngstown State,HC,2017 Youngstown State
Bob Davie,2017,New Mexico,HC,2017 New Mexico
Bobby Petrino,2017,Louisville,HC,2017 Louisville
Bobby Wilder,2017,Old Dominion,HC,2017 Old Dominion
Chad Morris,2017,SMU,HC,2017 SMU
Charlie Strong,2017,South Florida,HC,2017 South Florida
Chris Ash,2017,Rutgers,HC,2017 Rutgers
Chris Petersen,2017,Washington,HC,2017 Washington
Frank Wilson,2017,UTSA,HC,2017 UTSA
Jeff Tedford,2017,Fresno State,HC,2017 Fresno State
Joe Moorhead,2017,Penn State,OC,2017 Penn State
Matt Luke,2017,Ole Miss,HC,2017 Ole Miss
Matt Rhule,2017,Baylor,HC,2017 Baylor
Mike Bobo,2017,Colorado State,HC,2017 Colorado State
Rocky Long,2017,San Diego State,HC,2017 San Diego State
Tony Sanchez,2017,UNLV,HC,2017 UNLV
Urban Meyer,2017,Ohio State,HC,2017 Ohio State
Mark Dantonio,2017,Michigan State,HC,2017 Michigan State
Troy Calhoun,2016,Air Force,HC,2016 Air Force
Tom Arth,2016,John Carroll,HC,2016 John Carroll
Nick Saban,2016,Alabama,HC,2016 Alabama
Shawn Clark,2016,Appalachian State,co-OC,2016 Appalachian State
Kevin Sumlin,2016,Texas A&M,HC,2016 Texas A&M
Sam Pittman,2016,Georgia,OL,2016 Georgia
Blake Anderson,2016,Arkansas State,HC,2016 Arkansas State
Jeff Monken,2016,Army,HC,2016 Army
Gus Malzahn,2016,Auburn,HC,2016 Auburn
Mike Neu,2016,Ball State,HC,2016 Ball State
Dave Aranda,2016,LSU,DC,2016 LSU
Bryan Harsin,2016,Boise State,HC,2016 Boise State
Jeff Hafley ,2016,49ers,DB,2016 49ers
Scot Loeffler,2016,Boston College,OC,2016 Boston College
Lance Leipold,2016,Buffalo,HC,2016 Buffalo
Kalani Sitake,2016,BYU,HC,2016 BYU
Justin Wilcox,2016,Wisconsin,DC,2016 Wisconsin
Josh Heupel,2016,Missouri,OC,2016 Missouri
Jim McElwain,2016,Florida,HC,2016 Florida
Will Healy,2016,Austin Peay,HC,2016 Austin Peay
Luke Fickell,2016,Ohio State,co-DC,2016 Ohio State
Dabo Swinney,2016,Clemson,HC,2016 Clemson
Joe Moglia,2016,Coastal Carolina,HC,2016 Coastal Carolina
Steve Addazio,2016,Boston College,HC,2016 Boston College
Randy Edsall,2016,Lions,staff,2016 Lions
David Cutcliffe,2016,Duke,HC,2016 Duke
Mike Houston,2016,James Madison,HC,2016 James Madison
Chris Creighton,2016,Eastern Michigan,HC,2016 Eastern Michigan
Dan Mullen,2016,Mississippi State,HC,2016 Mississippi State
Willie Taggart,2016,South Florida,HC,2016 South Florida
Mike Norvell,2016,Memphis,HC,2016 Memphis
Kalen DeBoer,2016,Eastern Michigan,OC,2016 Eastern Michigan
Kirby Smart,2016,Georgia,HC,2016 Georgia
Chad Lunsford,2016,Georgia Southern,ST,2016 Georgia Southern
Shawn Elliott,2016,South Carolina,OL,2016 South Carolina
Geoff Collins,2016,Florida,DC,2016 Florida
Dana Holgorsen,2016,West Virginia,HC,2016 West Virginia
Lovie Smith,2016,Illinois,HC,2016 Illinois
Tom Allen,2016,Indiana,DC,2016 Indiana
Kirk Ferentz,2016,Iowa,HC,2016 Iowa
Matt Campbell,2016,Iowa State,HC,2016 Iowa State
Les Miles,2016,LSU,HC,2016 LSU
Chris Klieman,2016,North Dakota State,HC,2016 North Dakota State
Sean Lewis,2016,Syracuse,co-OC,2016 Syracuse
Mark Stoops,2016,Kentucky,HC,2016 Kentucky
Hugh Freeze,2016,Ole Miss,HC,2016 Ole Miss
Skip Holtz,2016,Louisiana Tech,HC,2016 Louisiana Tech
Billy Napier,2016,Alabama,WR,2016 Alabama
Matt Viator,2016,Louisiana-Monroe,HC,2016 Louisiana-Monroe
Scott Satterfield,2016,Appalachian State,HC,2016 Appalachian State
Ed Orgeron,2016,LSU,DL,2016 LSU
Doc Holliday,2016,Marshall,HC,2016 Marshall
Mike Locksley,2016,Alabama,OA,2016 Alabama
Walt Bell,2016,Maryland,OC,2016 Maryland
Manny Diaz,2016,Miami FL,DC,2016 Miami FL
Chuck Martin,2016,Miami OH,HC,2016 Miami OH
Jim Harbaugh,2016,Michigan,HC,2016 Michigan
Mel Tucker,2016,Georgia,DC,2016 Georgia
Rick Stockstill,2016,Middle Tennessee,HC,2016 Middle Tennessee
P. J. Fleck,2016,Western Michigan,HC,2016 Western Michigan
Mike Leach,2016,Washington State,HC,2016 Washington State
Eliah Drinkwitz,2016,North Carolina State,OC,2016 North Carolina State
Ken Niumatalolo,2016,Navy,HC,2016 Navy
Scott Frost,2016,Central Florida,HC,2016 Central Florida
Jay Norvell,2016,Arizona State,PGC,2016 Arizona State
Danny Gonzales,2016,San Diego State,S,2016 San Diego State
Doug Martin,2016,New Mexico State,HC,2016 New Mexico State
Dave Doeren,2016,North Carolina State,HC,2016 North Carolina State
Seth Littrell,2016,North Texas,HC,2016 North Texas
Thomas Hammock,2016,Ravens,RB,2016 Ravens
Pat Fitzgerald,2016,Northwestern,HC,2016 Northwestern
Brian Kelly,2016,Notre Dame,HC,2016 Notre Dame
Frank Solich,2016,Ohio,HC,2016 Ohio
Ryan Day,2016,49ers,QB,2016 49ers
Lincoln Riley,2016,Oklahoma,OC,2016 Oklahoma
Mike Gundy,2016,Oklahoma State,HC,2016 Oklahoma State
Ricky Rahne,2016,Penn State,TE,2016 Penn State
Lane Kiffin,2016,Alabama,OC,2016 Alabama
Mario Cristobal,2016,Alabama,OL,2016 Alabama
Jonathan Smith,2016,Washington,OC,2016 Washington
James Franklin,2016,Penn State,HC,2016 Penn State
Pat Narduzzi,2016,Pitt,HC,2016 Pitt
Jeff Brohm,2016,Western Kentucky,HC,2016 Western Kentucky
Mike Bloomgren,2016,Stanford,OC,2016 Stanford
Greg Schiano,2016,Ohio State,DC,2016 Ohio State
Brady Hoke,2016,Oregon,DC,2016 Oregon
Brent Brennan,2016,Oregon State,WR,2016 Oregon State
Sonny Dykes,2016,California,HC,2016 California
Steve Campbell,2016,Central Arkansas,HC,2016 Central Arkansas
Will Muschamp,2016,South Carolina,HC,2016 South Carolina
Jeff Scott,2016,Clemson,co-OC,2016 Clemson
Jay Hopson,2016,Southern Miss,HC,2016 Southern Miss
David Shaw,2016,Stanford,HC,2016 Stanford
Dino Babers,2016,Syracuse,HC,2016 Syracuse
Gary Patterson,2016,TCU,HC,2016 TCU
Rod Carey,2016,Northern Illinois,HC,2016 Northern Illinois
Jeremy Pruitt,2016,Alabama,DC,2016 Alabama
Tom Herman,2016,Houston,HC,2016 Houston
Jimbo Fisher,2016,Florida State,HC,2016 Florida State
Jake Spavital,2016,California,OC,2016 California
Matt Wells,2016,Utah State,HC,2016 Utah State
Jason Candle,2016,Toledo,HC,2016 Toledo
Chip Lindsey,2016,Arizona State,OC,2016 Arizona State
Willie Fritz,2016,Tulane,HC,2016 Tulane
Philip Montgomery,2016,Tulsa,HC,2016 Tulsa
Bill Clark,2016,UAB,HC,2016 UAB
Chip Kelly,2016,49ers,HC,2016 49ers
Marcus Arroyo,2016,Oklahoma State,RB,2016 Oklahoma State
Clay Helton,2016,USC,HC,2016 USC
Kyle Whittingham,2016,Utah,HC,2016 Utah
Gary Andersen,2016,Oregon State,HC,2016 Oregon State
Dana Dimel,2016,Kansas State,OC,2016 Kansas State
Jeff Traylor,2016,Texas,TE,2016 Texas
Derek Mason,2016,Vanderbilt,HC,2016 Vanderbilt
Bronco Mendenhall,2016,Virginia,HC,2016 Virginia
Justin Fuente,2016,Virginia Tech,HC,2016 Virginia Tech
Dave Clawson,2016,Wake Forest,HC,2016 Wake Forest
Jimmy Lake,2016,Washington,co-DC,2016 Washington
Nick Rolovich,2016,Hawaii,HC,2016 Hawaii
Neal Brown,2016,Troy,HC,2016 Troy
Tyson Helton,2016,USC,QB,2016 USC
Tim Lester,2016,Purdue,QB,2016 Purdue
Paul Chryst,2016,Wisconsin,HC,2016 Wisconsin
Craig Bohl,2016,Wyoming,HC,2016 Wyoming
Barry Odom,2016,Missouri,HC,2016 Missouri
Bo Pelini,2016,Youngstown State,HC,2016 Youngstown State
Bob Davie,2016,New Mexico,HC,2016 New Mexico
Bob Stoops,2016,Oklahoma,HC,2016 Oklahoma
Bobby Petrino,2016,Louisville,HC,2016 Louisville
Bobby Wilder,2016,Old Dominion,HC,2016 Old Dominion
Chad Morris,2016,SMU,HC,2016 SMU
Charlie Strong,2016,Texas,HC,2016 Texas
Chris Ash,2016,Rutgers,HC,2016 Rutgers
Chris Petersen,2016,Washington,HC,2016 Washington
Frank Wilson,2016,UTSA,HC,2016 UTSA
Jeff Tedford,2016,Washington,staff,2016 Washington
Joe Moorhead,2016,Penn State,OC,2016 Penn State
Matt Luke,2016,Ole Miss,OC,2016 Ole Miss
Matt Rhule,2016,Temple,HC,2016 Temple
Mike Bobo,2016,Colorado State,HC,2016 Colorado State
Rocky Long,2016,San Diego State,HC,2016 San Diego State
Tony Sanchez,2016,UNLV,HC,2016 UNLV
Urban Meyer,2016,Ohio State,HC,2016 Ohio State
Mark Dantonio,2016,Michigan State,HC,2016 Michigan State
Troy Calhoun,2015,Air Force,HC,2015 Air Force
Tom Arth,2015,John Carroll,HC,2015 John Carroll
Nick Saban,2015,Alabama,HC,2015 Alabama
Shawn Clark,2015,Kent State,OL,2015 Kent State
Kevin Sumlin,2015,Texas A&M,HC,2015 Texas A&M
Sam Pittman,2015,Arkansas,AHC,2015 Arkansas
Blake Anderson,2015,Arkansas State,HC,2015 Arkansas State
Jeff Monken,2015,Army,HC,2015 Army
Gus Malzahn,2015,Auburn,HC,2015 Auburn
Mike Neu,2015,Saints,QB,2015 Saints
Dave Aranda,2015,Wisconsin,DC,2015 Wisconsin
Bryan Harsin,2015,Boise State,HC,2015 Boise State
Jeff Hafley ,2015,Browns,DB,2015 Browns
Scot Loeffler,2015,Virginia Tech,OC,2015 Virginia Tech
Lance Leipold,2015,Buffalo,HC,2015 Buffalo
Kalani Sitake,2015,Oregon State,DC,2015 Oregon State
Justin Wilcox,2015,USC,DC,2015 USC
Josh Heupel,2015,Utah State,OC,2015 Utah State
Jim McElwain,2015,Florida,HC,2015 Florida
Will Healy,2015,Chattanooga,Asst,2015 Chattanooga
Luke Fickell,2015,Ohio State,co-DC,2015 Ohio State
Dabo Swinney,2015,Clemson,HC,2015 Clemson
Joe Moglia,2015,Coastal Carolina,HC,2015 Coastal Carolina
Steve Addazio,2015,Boston College,HC,2015 Boston College
Randy Edsall,2015,Maryland,HC,2015 Maryland
David Cutcliffe,2015,Duke,HC,2015 Duke
Mike Houston,2015,Citadel,HC,2015 Citadel
Chris Creighton,2015,Eastern Michigan,HC,2015 Eastern Michigan
Dan Mullen,2015,Mississippi State,HC,2015 Mississippi State
Willie Taggart,2015,South Florida,HC,2015 South Florida
Mike Norvell,2015,Arizona State,OC,2015 Arizona State
Kalen DeBoer,2015,Eastern Michigan,OC,2015 Eastern Michigan
Kirby Smart,2015,Alabama,DC,2015 Alabama
Chad Lunsford,2015,Georgia Southern,TE,2015 Georgia Southern
Shawn Elliott,2015,South Carolina,co-OC,2015 South Carolina
Geoff Collins,2015,Florida,DC,2015 Florida
Dana Holgorsen,2015,West Virginia,HC,2015 West Virginia
Lovie Smith,2015,Buccaneers,HC,2015 Buccaneers
Tom Allen,2015,South Florida,DC,2015 South Florida
Kirk Ferentz,2015,Iowa,HC,2015 Iowa
Matt Campbell,2015,Toledo,HC,2015 Toledo
Les Miles,2015,LSU,HC,2015 LSU
Chris Klieman,2015,North Dakota State,HC,2015 North Dakota State
Sean Lewis,2015,Bowling Green,co-OC,2015 Bowling Green
Mark Stoops,2015,Kentucky,HC,2015 Kentucky
Hugh Freeze,2015,Ole Miss,HC,2015 Ole Miss
Skip Holtz,2015,Louisiana Tech,HC,2015 Louisiana Tech
Billy Napier,2015,Alabama,WR,2015 Alabama
Matt Viator,2015,McNeese State,HC,2015 McNeese State
Scott Satterfield,2015,Appalachian State,HC,2015 Appalachian State
Ed Orgeron,2015,LSU,DL,2015 LSU
Doc Holliday,2015,Marshall,HC,2015 Marshall
Mike Locksley,2015,Maryland,OC,2015 Maryland
Walt Bell,2015,Arkansas State,OC,2015 Arkansas State
Manny Diaz,2015,Mississippi State,DC,2015 Mississippi State
Chuck Martin,2015,Miami OH,HC,2015 Miami OH
Jim Harbaugh,2015,Michigan,HC,2015 Michigan
Mel Tucker,2015,Alabama,DB,2015 Alabama
Rick Stockstill,2015,Middle Tennessee,HC,2015 Middle Tennessee
P. J. Fleck,2015,Western Michigan,HC,2015 Western Michigan
Mike Leach,2015,Washington State,HC,2015 Washington State
Eliah Drinkwitz,2015,Boise State,OC,2015 Boise State
Ken Niumatalolo,2015,Navy,HC,2015 Navy
Scott Frost,2015,Oregon,OC,2015 Oregon
Jay Norvell,2015,Texas,WR,2015 Texas
Danny Gonzales,2015,San Diego State,S,2015 San Diego State
Doug Martin,2015,New Mexico State,HC,2015 New Mexico State
Dave Doeren,2015,North Carolina State,HC,2015 North Carolina State
Seth Littrell,2015,North Carolina,TE,2015 North Carolina
Thomas Hammock,2015,Ravens,RB,2015 Ravens
Pat Fitzgerald,2015,Northwestern,HC,2015 Northwestern
Brian Kelly,2015,Notre Dame,HC,2015 Notre Dame
Frank Solich,2015,Ohio,HC,2015 Ohio
Ryan Day,2015,Eagles,QB,2015 Eagles
Lincoln Riley,2015,Oklahoma,OC,2015 Oklahoma
Mike Gundy,2015,Oklahoma State,HC,2015 Oklahoma State
Ricky Rahne,2015,Penn State,QB,2015 Penn State
Lane Kiffin,2015,Alabama,OC,2015 Alabama
Mario Cristobal,2015,Alabama,OL,2015 Alabama
Jonathan Smith,2015,Washington,OC,2015 Washington
James Franklin,2015,Penn State,HC,2015 Penn State
Pat Narduzzi,2015,Pitt,HC,2015 Pitt
Jeff Brohm,2015,Western Kentucky,HC,2015 Western Kentucky
Mike Bloomgren,2015,Stanford,OC,2015 Stanford
Brent Brennan,2015,Oregon State,WR,2015 Oregon State
Sonny Dykes,2015,California,HC,2015 California
Steve Campbell,2015,Central Arkansas,HC,2015 Central Arkansas
Will Muschamp,2015,Auburn,DC,2015 Auburn
Jeff Scott,2015,Clemson,co-OC,2015 Clemson
Jay Hopson,2015,Alcorn State,HC,2015 Alcorn State
David Shaw,2015,Stanford,HC,2015 Stanford
Dino Babers,2015,Bowling Green,HC,2015 Bowling Green
Gary Patterson,2015,TCU,HC,2015 TCU
Rod Carey,2015,Northern Illinois,HC,2015 Northern Illinois
Jeremy Pruitt,2015,Georgia,DC,2015 Georgia
Tom Herman,2015,Houston,HC,2015 Houston
Jimbo Fisher,2015,Florida State,HC,2015 Florida State
Jake Spavital,2015,Texas A&M,OC,2015 Texas A&M
Matt Wells,2015,Utah State,HC,2015 Utah State
Jason Candle,2015,Toledo,OC,2015 Toledo
Chip Lindsey,2015,Southern Miss,OC,2015 Southern Miss
Willie Fritz,2015,Georgia Southern,HC,2015 Georgia Southern
Philip Montgomery,2015,Tulsa,HC,2015 Tulsa
Bill Clark,2015,UAB,HC,2015 UAB
Chip Kelly,2015,Eagles,HC,2015 Eagles
Marcus Arroyo,2015,Oklahoma State,RB,2015 Oklahoma State
Clay Helton,2015,USC,OC,2015 USC
Kyle Whittingham,2015,Utah,HC,2015 Utah
Gary Andersen,2015,Oregon State,HC,2015 Oregon State
Dana Dimel,2015,Kansas State,OC,2015 Kansas State
Jeff Traylor,2015,Texas,TE,2015 Texas
Derek Mason,2015,Vanderbilt,HC,2015 Vanderbilt
Bronco Mendenhall,2015,BYU,HC,2015 BYU
Justin Fuente,2015,Memphis,HC,2015 Memphis
Dave Clawson,2015,Wake Forest,HC,2015 Wake Forest
Jimmy Lake,2015,Washington,DB,2015 Washington
Nick Rolovich,2015,Nevada,OC,2015 Nevada
Neal Brown,2015,Troy,HC,2015 Troy
Tyson Helton,2015,Western Kentucky,OC,2015 Western Kentucky
Tim Lester,2015,Syracuse,OC,2015 Syracuse
Paul Chryst,2015,Wisconsin,HC,2015 Wisconsin
Craig Bohl,2015,Wyoming,HC,2015 Wyoming
Barry Odom,2015,Missouri,DC,2015 Missouri
Bo Pelini,2015,Youngstown State,HC,2015 Youngstown State
Bob Davie,2015,New Mexico,HC,2015 New Mexico
Bob Stoops,2015,Oklahoma,HC,2015 Oklahoma
Bobby Petrino,2015,Louisville,HC,2015 Louisville
Bobby Wilder,2015,Old Dominion,HC,2015 Old Dominion
Chad Morris,2015,SMU,HC,2015 SMU
Charlie Strong,2015,Texas,HC,2015 Texas
Chris Ash,2015,Ohio State,co-DC,2015 Ohio State
Chris Petersen,2015,Washington,HC,2015 Washington
Frank Wilson,2015,LSU,RB,2015 LSU
Jeff Tedford,2015,BC Lions,HC,2015 BC Lions
Joe Moorhead,2015,Fordham,HC,2015 Fordham
Matt Luke,2015,Ole Miss,OC,2015 Ole Miss
Matt Rhule,2015,Temple,HC,2015 Temple
Mike Bobo,2015,Colorado State,HC,2015 Colorado State
Rocky Long,2015,San Diego State,HC,2015 San Diego State
Tony Sanchez,2015,UNLV,HC,2015 UNLV
Urban Meyer,2015,Ohio State,HC,2015 Ohio State
Mark Dantonio,2015,Michigan State,HC,2015 Michigan State
Troy Calhoun,2014,Air Force,HC,2014 Air Force
Tom Arth,2014,John Carroll,HC,2014 John Carroll
Nick Saban,2014,Alabama,HC,2014 Alabama
Shawn Clark,2014,Kent State,OL,2014 Kent State
Kevin Sumlin,2014,Texas A&M,HC,2014 Texas A&M
Sam Pittman,2014,Arkansas,AHC,2014 Arkansas
Blake Anderson,2014,Arkansas State,HC,2014 Arkansas State
Jeff Monken,2014,Army,HC,2014 Army
Gus Malzahn,2014,Auburn,HC,2014 Auburn
Mike Neu,2014,Saints,QB,2014 Saints
Dave Aranda,2014,Wisconsin,DC,2014 Wisconsin
Bryan Harsin,2014,Boise State,HC,2014 Boise State
Jeff Hafley ,2014,Browns,DB,2014 Browns
Scot Loeffler,2014,Virginia Tech,OC,2014 Virginia Tech
Lance Leipold,2014,Wisconsin Whitewater,HC,2014 Wisconsin Whitewater
Kalani Sitake,2014,Utah,DC,2014 Utah
Justin Wilcox,2014,USC,DC,2014 USC
Josh Heupel,2014,Oklahoma,co-OC,2014 Oklahoma
Jim McElwain,2014,Colorado State,HC,2014 Colorado State
Will Healy,2014,Chattanooga,Asst,2014 Chattanooga
Luke Fickell,2014,Ohio State,co-DC,2014 Ohio State
Dabo Swinney,2014,Clemson,HC,2014 Clemson
Joe Moglia,2014,Coastal Carolina,HC,2014 Coastal Carolina
Steve Addazio,2014,Boston College,HC,2014 Boston College
Randy Edsall,2014,Maryland,HC,2014 Maryland
David Cutcliffe,2014,Duke,HC,2014 Duke
Mike Houston,2014,Citadel,HC,2014 Citadel
Chris Creighton,2014,Eastern Michigan,HC,2014 Eastern Michigan
Dan Mullen,2014,Mississippi State,HC,2014 Mississippi State
Willie Taggart,2014,South Florida,HC,2014 South Florida
Mike Norvell,2014,Arizona State,OC,2014 Arizona State
Kalen DeBoer,2014,Eastern Michigan,OC,2014 Eastern Michigan
Kirby Smart,2014,Alabama,DC,2014 Alabama
Chad Lunsford,2014,Georgia Southern,TE,2014 Georgia Southern
Shawn Elliott,2014,South Carolina,co-OC,2014 South Carolina
Geoff Collins,2014,Mississippi State,DC,2014 Mississippi State
Dana Holgorsen,2014,West Virginia,HC,2014 West Virginia
Lovie Smith,2014,Buccaneers,HC,2014 Buccaneers
Tom Allen,2014,Ole Miss,LB,2014 Ole Miss
Kirk Ferentz,2014,Iowa,HC,2014 Iowa
Matt Campbell,2014,Toledo,HC,2014 Toledo
Les Miles,2014,LSU,HC,2014 LSU
Chris Klieman,2014,North Dakota State,HC,2014 North Dakota State
Sean Lewis,2014,Bowling Green,WR,2014 Bowling Green
Mark Stoops,2014,Kentucky,HC,2014 Kentucky
Hugh Freeze,2014,Ole Miss,HC,2014 Ole Miss
Skip Holtz,2014,Louisiana Tech,HC,2014 Louisiana Tech
Billy Napier,2014,Alabama,WR,2014 Alabama
Matt Viator,2014,McNeese State,HC,2014 McNeese State
Scott Satterfield,2014,Appalachian State,HC,2014 Appalachian State
Doc Holliday,2014,Marshall,HC,2014 Marshall
Mike Locksley,2014,Maryland,OC,2014 Maryland
Walt Bell,2014,Arkansas State,OC,2014 Arkansas State
Manny Diaz,2014,Louisiana Tech,DC,2014 Louisiana Tech
Chuck Martin,2014,Miami OH,HC,2014 Miami OH
Jim Harbaugh,2014,49ers,HC,2014 49ers
Mel Tucker,2014,Bears,DC,2014 Bears
Rick Stockstill,2014,Middle Tennessee,HC,2014 Middle Tennessee
P. J. Fleck,2014,Western Michigan,HC,2014 Western Michigan
Mike Leach,2014,Washington State,HC,2014 Washington State
Eliah Drinkwitz,2014,Boise State,TE,2014 Boise State
Ken Niumatalolo,2014,Navy,HC,2014 Navy
Scott Frost,2014,Oregon,OC,2014 Oregon
Jay Norvell,2014,Oklahoma,co-OC,2014 Oklahoma
Danny Gonzales,2014,San Diego State,S,2014 San Diego State
Doug Martin,2014,New Mexico State,HC,2014 New Mexico State
Dave Doeren,2014,North Carolina State,HC,2014 North Carolina State
Seth Littrell,2014,North Carolina,TE,2014 North Carolina
Thomas Hammock,2014,Ravens,RB,2014 Ravens
Pat Fitzgerald,2014,Northwestern,HC,2014 Northwestern
Brian Kelly,2014,Notre Dame,HC,2014 Notre Dame
Frank Solich,2014,Ohio,HC,2014 Ohio
Ryan Day,2014,Boston College,OC,2014 Boston College
Lincoln Riley,2014,East Carolina,OC,2014 East Carolina
Mike Gundy,2014,Oklahoma State,HC,2014 Oklahoma State
Ricky Rahne,2014,Penn State,QB,2014 Penn State
Lane Kiffin,2014,Alabama,OC,2014 Alabama
Mario Cristobal,2014,Alabama,OL,2014 Alabama
Jonathan Smith,2014,Washington,OC,2014 Washington
James Franklin,2014,Penn State,HC,2014 Penn State
Pat Narduzzi,2014,Michigan State,DC,2014 Michigan State
Jeff Brohm,2014,Western Kentucky,HC,2014 Western Kentucky
Mike Bloomgren,2014,Stanford,OC,2014 Stanford
Brady Hoke,2014,Michigan,HC,2014 Michigan
Brent Brennan,2014,Oregon State,WR,2014 Oregon State
Sonny Dykes,2014,California,HC,2014 California
Steve Campbell,2014,Central Arkansas,HC,2014 Central Arkansas
Will Muschamp,2014,Florida,HC,2014 Florida
Jeff Scott,2014,Clemson,WR,2014 Clemson
Jay Hopson,2014,Alcorn State,HC,2014 Alcorn State
David Shaw,2014,Stanford,HC,2014 Stanford
Dino Babers,2014,Bowling Green,HC,2014 Bowling Green
Gary Patterson,2014,TCU,HC,2014 TCU
Rod Carey,2014,Northern Illinois,HC,2014 Northern Illinois
Jeremy Pruitt,2014,Georgia,DC,2014 Georgia
Tom Herman,2014,Ohio State,OC,2014 Ohio State
Jimbo Fisher,2014,Florida State,HC,2014 Florida State
Jake Spavital,2014,Texas A&M,OC,2014 Texas A&M
Matt Wells,2014,Utah State,HC,2014 Utah State
Jason Candle,2014,Toledo,OC,2014 Toledo
Chip Lindsey,2014,Southern Miss,OC,2014 Southern Miss
Willie Fritz,2014,Georgia Southern,HC,2014 Georgia Southern
